#cultures
baloch;Dusky;;;;;;;;;;;;;x
mongol;Pseudorca;;;;;;;;;;;;;x
ethiopian;Bottlenose;;;;;;;;;;;;;x
pommeranian;Hourglass;;;;;;;;;;;;;x
bohemian;Spotted;;;;;;;;;;;;;x
polish;Irrawaddy;;;;;;;;;;;;;x
andalusian_arabic;Snubfin;;;;;;;;;;;;;x
slovieni;Commerson;;;;;;;;;;;;;x
khanty;Longfin;;;;;;;;;;;;;x
lappish;Spinner;;;;;;;;;;;;;x
saka;Striped;;;;;;;;;;;;;x
gujurati;Clymene;;;;;;;;;;;;;x
croatian;Southern;;;;;;;;;;;;;x
assyrian;Roughtooth;;;;;;;;;;;;;x
sogdian;Indo-Pacific Humpback;;;;;;;;;;;;;x
bengali;Common;;;;;;;;;;;;;x
manden;Electra;;;;;;;;;;;;;x
ilmenian;Rissos;;;;;;;;;;;;;x
jurchen;Wholphin;;;;;;;;;;;;;x
german;Shortfin;;;;;;;;;;;;;x
lettigallish;Longbeak;;;;;;;;;;;;;x
hungarian;Shortbeak;;;;;;;;;;;;;x
komi;Burrunan;;;;;;;;;;;;;x
severian;Commersonii;;;;;;;;;;;;;x
old_saxon;Kereguelen;;;;;;;;;;;;;x
armenian;Eutropian;;;;;;;;;;;;;x
carantanian;Heavisidiin;;;;;;;;;;;;;x
serbian;Hectorian;;;;;;;;;;;;;x
songhay;Hectori;;;;;;;;;;;;;x
outremer;Mauian;;;;;;;;;;;;;x
basque;Delphinus;;;;;;;;;;;;;x
visigothic;Linnaeus;;;;;;;;;;;;;x
prussian;Bairdii;;;;;;;;;;;;;x
lithuanian;Barabassh;;;;;;;;;;;;;x
rajput;Tropicalis;;;;;;;;;;;;;x
romanian;Feresa;;;;;;;;;;;;;x
coptic;Attenuata;;;;;;;;;;;;;x
nubian;Globicephala;;;;;;;;;;;;;x
lombard;Macrorhynchus;;;;;;;;;;;;;x
afghan;Melas;;;;;;;;;;;;;x
assamese;Edwardii;;;;;;;;;;;;;x
ashkenazi;Griseus;;;;;;;;;;;;;x
georgian;Grampus;;;;;;;;;;;;;x
karluk;Hosei;;;;;;;;;;;;;x
volhynian;Actus;;;;;;;;;;;;;x
nepali;Albirostris;;;;;;;;;;;;;x
khazar;Australis;;;;;;;;;;;;;x
alan;Cruciger;;;;;;;;;;;;;x
bolghar;Obliquidens;;;;;;;;;;;;;x
suebi;Obscurus;;;;;;;;;;;;;x
avar;Lagenorhynchus;;;;;;;;;;;;;x
sephardi;Fitzroy;;;;;;;;;;;;;x
arberian;Lobscurus;;;;;;;;;;;;;x
frisian;Posidonia;;;;;;;;;;;;;x
tocharian;Borealis;;;;;;;;;;;;;x
bulgarian;Peronii;;;;;;;;;;;;;x
cuman;Lissodelphis;;;;;;;;;;;;;x
portuguese;Brevirostris;;;;;;;;;;;;;x
oriya;Heinsohni;;;;;;;;;;;;;x
crimean_gothic;Orcaella;;;;;;;;;;;;;x
kanuri;Orcinus;;;;;;;;;;;;;x
kannada;Peponocephala;;;;;;;;;;;;;x
norman;Crassidens;;;;;;;;;;;;;x
telugu;Teuszii;;;;;;;;;;;;;x
persian;Chinensis;;;;;;;;;;;;;x
dalmatian;Sousa;;;;;;;;;;;;;x
frankish;Humpback;;;;;;;;;;;;;x
khitan;Taiwanensis;;;;;;;;;;;;;x
marathi;Plumbea;;;;;;;;;;;;;x
sumpa;Sahulensis;;;;;;;;;;;;;x
roman;Fluviatilis;;;;;;;;;;;;;x
english;Tucuxi;;;;;;;;;;;;;x
tangut;Guianensis;;;;;;;;;;;;;x
greek;Sotalia;;;;;;;;;;;;;x
panjabi;Costero;;;;;;;;;;;;;x
saxon;Stenella;;;;;;;;;;;;;x
han;Pantropical;;;;;;;;;;;;;x
turkish;Graffmani;;;;;;;;;;;;;x
kirghiz;Coeruleoalba;;;;;;;;;;;;;x
uyghur;Frontalis;;;;;;;;;;;;;x
sardinian;Longirostris;;;;;;;;;;;;;x
catalan;Centroamericana;;;;;;;;;;;;;x
pecheneg;Slongirostris;;;;;;;;;;;;;x
hausa;Orientalis;;;;;;;;;;;;;x
occitan;Roseiventris;;;;;;;;;;;;;x
hindustani;Bredanensis;;;;;;;;;;;;;x
zaghawa;Steno;;;;;;;;;;;;;x
castillan;Aduncus;;;;;;;;;;;;;x
daju;Truncatus;;;;;;;;;;;;;x
italian;Tursiops;;;;;;;;;;;;;x
dutch;Ponticus;;;;;;;;;;;;;x
zhangzhung;Gephyreus;;;;;;;;;;;;;x
nahuatl;Lahille;;;;;;;;;;;;;x
tamil;Phocoenidae;;;;;;;;;;;;;x
sindhi;Neophocaena;;;;;;;;;;;;;x
bodpa;Phocaenoide;;;;;;;;;;;;;x
sinhala;Asiaeorientalis;;;;;;;;;;;;;x
finnish;Narrowridged;;;;;;;;;;;;;x
egyptian_arabic;Finless;;;;;;;;;;;;;x
bedouin_arabic;Nasiaeorientalis;;;;;;;;;;;;;x
danish;Yangtze;;;;;;;;;;;;;x
russian;Porpoise;;;;;;;;;;;;;x
norwegian;Sunameri;;;;;;;;;;;;;x
pictish;Phocoena;;;;;;;;;;;;;x
maghreb_arabic;Dioptrica;;;;;;;;;;;;;x
somali;Spectacled;;;;;;;;;;;;;x
swedish;Harbor;;;;;;;;;;;;;x
breton;Gilman;;;;;;;;;;;;;x
meshchera;Vomerina;;;;;;;;;;;;;x
norse;Relicta;;;;;;;;;;;;;x
scottish;Dolphiner;;;;;;;;;;;;;x
ugricbaltic;Fisher;;;;;;;;;;;;;x
mordvin;Ecconian;;;;;;;;;;;;;x
samoyed;Siren;;;;;;;;;;;;;x
welsh;Burmeister;;;;;;;;;;;;;x
irish;Dalli;;;;;;;;;;;;;x
levantine_arabic;Dall;;;;;;;;;;;;;x
bosnian;Truedall;;;;;;;;;;;;;x
old_frankish;Sirenia;;;;;;;;;;;;;x
kurdish;Trichechidae;;;;;;;;;;;;;x
soninke;Inunguis;;;;;;;;;;;;;x
dog_culture;Manatus;;;;;;;;;;;;;x
dragon_culture;Latirostris;;;;;;;;;;;;;x
elephant_culture;Merfolk;;;;;;;;;;;;;x
duck_culture;Trichechus;;;;;;;;;;;;;x
bear;Senegalensis;;;;;;;;;;;;;x
cat;Dugongidae;;;;;;;;;;;;;x
red_panda;Dugong;;;;;;;;;;;;;x
hedgehog_culture;Hydrodamalis;;;;;;;;;;;;;x
horse;Gigas;;;;;;;;;;;;;x
