#religions
catholic;Ichthysism;;;;;;;;;;;;;x
orthodox;Eccodox;;;;;;;;;;;;;x
miaphysite;Narwiphysite;;;;;;;;;;;;;x
nestorian;Orcaestant;;;;;;;;;;;;;x
sunni;Dulphi;;;;;;;;;;;;;x
shiite;Delphiite;;;;;;;;;;;;;x
jewish;Cetaceanism;;;;;;;;;;;;;x
zoroastrian;Aquastrian;;;;;;;;;;;;;x
hindu;Varunism;;;;;;;;;;;;;x
buddhist;Fishism;;;;;;;;;;;;;x
jain;Fishist;;;;;;;;;;;;;x
taoist;Koiism;;;;;;;;;;;;;x
norse_pagan;Dolphinic;;;;;;;;;;;;;x
slavic_pagan;Akulaist;;;;;;;;;;;;;x
tengri_pagan;Khalic;;;;;;;;;;;;;x
baltic_pagan;Doluva;;;;;;;;;;;;;x
finnish_pagan;Whalism;;;;;;;;;;;;;x
west_african_pagan;Aquaism;;;;;;;;;;;;;x
aztec;Sharktec;;;;;;;;;;;;;x
zun_pagan;Airist;;;;;;;;;;;;;x
bon;Ancestor Worship;;;;;;;;;;;;;x
hellenic_pagan;Piscesenic;;;;;;;;;;;;;x
cathar;Ichthar;;;;;;;;;;;;;x
fraticelli;Fishicelli;;;;;;;;;;;;;x
waldensian;Ichthysian;;;;;;;;;;;;;x
lollard;Fishard;;;;;;;;;;;;;x
monophysite;Ichthysysite;;;;;;;;;;;;;x
messalian;Orcalian;;;;;;;;;;;;;x
bogomilist;Eccomilist;;;;;;;;;;;;;x
monothelite;Eccoethelite;;;;;;;;;;;;;x
iconoclass;Ecconoclast;;;;;;;;;;;;;x
paulician;Cephalopodician;;;;;;;;;;;;;x
zikri;Dulkri;;;;;;;;;;;;;x
yazidi;Delzidi;;;;;;;;;;;;;x
kharijite;Sharkjite;;;;;;;;;;;;;x
qarmatian;Sharkmatian;;;;;;;;;;;;;x
druze;Sruze;;;;;;;;;;;;;x
hurufi;Dulurufi;;;;;;;;;;;;;x
mazdaki;Aquazdaki;;;;;;;;;;;;;x
manichean;Aquichaean;;;;;;;;;;;;;x
khurmazta;Aqurmazta;;;;;;;;;;;;;x
samaritan;Cetacearitan;;;;;;;;;;;;;x
karaite;Cetaite;;;;;;;;;;;;;x
