EVTOPTA_EADAS_6001;Borrow 50 gold;Emprunter 50 piиces d'or;50 Goldstьcke borgen;;Tomar prestado 50 de oro;;;;;;;;;x
EVTOPTB_EADAS_6001;Borrow 250 gold;Emprunter 250 piиces d'or;250 Goldstьcke borgen;;Tomar prestado 250 de oro;;;;;;;;;x
EVTOPTC_EADAS_6001;Borrow 500 gold;Emprunter 500 piиces d'or;500 Goldstьcke borgen;;Tomar prestado 500 de oro;;;;;;;;;x
EVTOPTD_EADAS_6001;Borrow nothing;Ne pas emprunter;Nichts borgen;;No tomar prestado nada;;;;;;;;;x
EVTDESC_EADAS_6005;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nYour generous gift to the Order shall not be forgotten. The money will come to good use in the defense against those who threaten the true faith. \n\nPraise be to [Root.Religion.GetHighGodNameCap]!\nSigned, Grand Master [From.GetFirstName];;;;;;;;;;x
EVTOPTA_EADAS_6005;Excellent.;Excellent.;Hervorragend.;;Excelente.;;;;;;;;;x
EVTDESC_EADAS_6006_A;Three Blessings, [Root.GetTitledFirstName],\n\nThe time has come for you to repay your debt to the Order. I trust you send me the [Root.assassins_debt.GetValue] gold as soon as you receive this letter.\n\nPraise be to [Root.Religion.GetHighGodNameCap]!\nSigned, Grand Master [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6006_B;Three Blessings, [Root.GetTitledFirstName],\n\nThe time has come for you to repay your debt to the Order. If you cannot spare the [Root.assassins_debt.GetValue] gold, I have another suggestion. The order is in unending need of champions and your [child_offer.GetRootRelation] [child_offer.GetFirstName] would make an excellent addition to our ranks.\n\nPraise be to [Root.Religion.GetHighGodNameCap]!\nSigned, Grand Master [From.GetFirstName];;;;;;;;;;x
EVTDESC_EADAS_6006_C;Three Blessings, [Root.GetTitledFirstName],\n\nThe time has come for you to repay your debt to the Order. If you cannot spare the [Root.assassins_debt.GetValue] gold, I have another suggestion. If you allow us to build a castle in [castle_offer.GetName] and aid us in its construction, your debt shall be forgotten.\n\nPraise be to [Root.Religion.GetHighGodNameCap]!\nSigned, Grand Master [From.GetFirstName];;;;;;;;;;x
EVTOPTA_EADAS_6006;Of course I shall pay back the gold I owe.;;;;;;;;;;x
EVTOPTB_EADAS_6006;I know [child_offer.GetFirstName] will serve faithfully.;;;;;;;;;;x
EVTOPTB_EADAS_6006_TOOLTIP;§Y[child_offer.GetTitledFirstName]§! becomes disinherited.\n;;;;;;;;;;x
EVTOPTC_EADAS_6006;The Order shall have a stronghold in [castle_offer.GetName].;;;;;;;;;;;x
EVTOPTD_EADAS_6006;I refuse!;;;;;;;;;;x
EVTOPTD_EADAS_6006_TOOLTIP;Do not to pay back the money you owe. Beware – the Grand Master will not take your refusal lightly.\n;;;;;;;;;;x
EVTDESC_EADAS_6209_A;As the last servant makes their exit, I am finally alone. It has been a long, draining day. Longing for a few carefree moments, I reach for my cup and raise it to my mouth. Wait a moment... what is that smell? There is a faint, bitter note, almost fully disguised by the rich aroma of your drink...;;;;;;;;;;x
