#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
warrior_lodge_cws_christian;The Champions of Christ;;;;;;;;;;;;;x
warrior_lodge_cws_christian_desc;The Champions of Christ (Latin: Athletae Christi) train hard and maintain an expert physique, not only for the purpose of battle, but also for martial games of sport – participating is both prestigious and pious, and the most skillful of their community are adored by everyone, commoner and noble alike.;;;;;;;;;;;;;x
warrior_lodge_cws_christian_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
create_warrior_lodge_cws_christian;Create Champions of Christ;;;;;;;;;;;;;x
create_warrior_lodge_cws_christian_desc;The Champions of Christ (Latin: Athletae Christi) train hard and maintain an expert physique, not only for the purpose of battle, but also for martial games of sport – participating is both prestigious and pious, and the most skillful of their community are adored by everyone, commoner and noble alike.;;;;;;;;;;;;;x
create_warrior_lodge_cws_christian_tooltip;Establish the §YWarrior Society§! of the §YChampions of Christ§!;;;;;;;;;;;;;x
warrior_lodge_christian_fortifications;Fortifications of Christ;;;;;;;;;;x;;;
warrior_lodge_christian_fortifications_desc;Use the resources and expertise of §Y[Root.Society.GetName]§! to improve the fortifications of this province.;;;;;;;;;;x;;;
warrior_lodge_christian_fortifications_power_desc;Enables §Gright-clicking§! on a holding for §Y[christian.GetName]§! rulers to request help from the Warrior Lodge to fortify their §YCastle§! and §YTribal§! holdings.;;;;;;;;;;x;;;
has_liege_vassal_or_neighbor_of_christian_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §YChristian§! faith\n;;;;;;;;;;;;;x
warrior_lodge_cws_christian_rank_1_female;Initiate;;;;;;;;;;;;;x
warrior_lodge_cws_christian_rank_2_female;Adept;;;;;;;;;;;;;x
warrior_lodge_cws_christian_rank_3_female;Mistress;;;;;;;;;;;;;x
warrior_lodge_cws_christian_rank_4_female;Grand Mistress;;;;;;;;;;;;;x
warrior_lodge_cws_christian_rank_1_male;Initiate;;;;;;;;;;;;;x
warrior_lodge_cws_christian_rank_2_male;Adept;;;;;;;;;;;;;x
warrior_lodge_cws_christian_rank_3_male;Master;;;;;;;;;;;;;x
warrior_lodge_cws_christian_rank_4_male;Grand Master;;;;;;;;;;;;;x
currency_name_warrior_lodge_cws_christian;Renown;;;;;;;;;;;;;x
cws_christian_leader;Aeneator;;;;;;;;;;;;;x
cws_christian_leader_desc;This character is a source of morale for [GetHerHis] troops, bringing them singing into battle.;;;;;;;;;;;;;x
