#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
the_guilds;The Great Trade League;La Grande Alliance Marchande;;;;;;;;;;;;x
the_guilds_desc;The Great Trade League is an alliance of several Guilds, putting their differences aside to protect their prosperity. Their quest for profit attracts a lot of attention from the clergy and the lords, who wouldn't hesitate to ask for a share they are not entitled to.;;;;;;;;;;;;;x
the_guilds_leader_desc;Doyen of the Greate Trade League. Acts as a mediator between the other Guild Masters.;;;;;;;;;;;;;x
the_guilds_rank_1_female;Peddler;;;;;;;;;;;;;x
the_guilds_rank_2_female;Trader;;;;;;;;;;;;;x
the_guilds_rank_3_female;Merchant;;;;;;;;;;;;;x
the_guilds_rank_4_female;Guild Mistress;;;;;;;;;;;;;x
the_guilds_rank_1_male;Peddler;;;;;;;;;;;;;x
the_guilds_rank_2_male;Trader;;;;;;;;;;;;;x
the_guilds_rank_3_male;Merchant;;;;;;;;;;;;;x
the_guilds_rank_4_male;Guild Master;;;;;;;;;;;;;x
currency_name_the_guilds;Assets;;;;;;;;;;;;;x
request_to_rank_up_within_guilds;Request a Promotion.;;;;;;;;;;;;;x
request_to_rank_up_within_guilds_currency_tt;Has §Y[Root.Society.GetCurrency]§! greater or equal to [Root.GetSocietyRankUpTooltip1], halved if you have the trait [Root.GetGuildsRankUpTooltip1] or have Golden Blood.;;;;;;;;;;;;;x
GetGuildsRankUpTooltip1_Standard_Rank1;§YApprentice Trader§!;;;;;;;;;;;;;x
GetGuildsRankUpTooltip1_Standard_Rank2;§YJourneyman Trader§!;;;;;;;;;;;;;x
GetGuildsRankUpTooltip1_Standard_Rank3;§YMaster Trader§!;;;;;;;;;;;;;x
#trigger/tooltip
IS_GUILDS_TRIGGER;Is a member of the Great Trade League.;;;;;;;;;;;;;x
guilds_traitor_tooltip;Didn't antagonize the Society;;;;;;;;;;;;;x
is_inaccessible_tooltip;Is NOT in Hiding, in Seclusion, or out traveling\n;Ne se cache pas, ne vit pas en réclusion et n'est pas en voyage\n;Ist NICHT im Versteck oder auf Reisen\n;;NO está oculto, recluido o viajando\n;;;;;;;;;x
is_incapable_tooltip;Is NOT in Incapable or Bedridden\n;N'est pas Incapable ou Alité.\n;Ist NICHT in Unfähig oder Bettlägerig\n;;NO está en Incapable o postrado en la cama.\n;;;;;;;;;x
#rules
GUILDS_RULE_GROUP;The Great Trade League;;;;;;;;;;;;;x
GUILDS_RULE_MASTER_NAME;Trade Masters;;;;;;;;;;;;;x
GUILDS_RULE_MASTER_DEFAULT;Enabled;;;;;;;;;;;;;x
GUILDS_RULE_MASTER_DEFAULT_DESC;Trade Masters with the ability to manage trade goods for non-members are enabled.\n;;;;;;;;;;;;;x
GUILDS_RULE_MASTER_NONE;Disabled;;;;;;;;;;;;;x
GUILDS_RULE_MASTER_NONE_DESC;Trade Masters are disabled.\n;;;;;;;;;;;;;x
GUILDS_RULE_WAR_NAME;Trade Wars;;;;;;;;;;;;;x
GUILDS_RULE_WAR_DEFAULT;Enabled;;;;;;;;;;;;;x
GUILDS_RULE_WAR_DEFAULT_DESC;Trade Wars, a spending race between members and non-members that can occur if the society becomes too influential, are enabled.\n;;;;;;;;;;;;;x
GUILDS_RULE_WAR_NONE;Disabled;;;;;;;;;;;;;x
GUILDS_RULE_WAR_NONE_DESC;Trade Wars are disabled.\n;;;;;;;;;;;;;x
GUILDS_RULE_RESOURCE_NAME;Resource System;;;;;;;;;;;;;x
GUILDS_RULE_RESOURCE_DEFAULT;Enabled;;;;;;;;;;;;;x
GUILDS_RULE_RESOURCE_DEFAULT_DESC;The resource system is enabled. This system is redundant if enabled with other mods, such as The Three Towers.\n;;;;;;;;;;;;;x
GUILDS_RULE_RESOURCE_NONE;Disabled;;;;;;;;;;;;;x
GUILDS_RULE_RESOURCE_NONE_DESC;The resource system is disabled.\n;;;;;;;;;;;;;x
#traits
guilds_trait_apprentice;Apprentice Trader;;;;;;;;;;;;;x
guilds_trait_apprentice_desc;This character has learned the basics of trading.;;;;;;;;;;;;;x
guilds_trait_trader;Journeyman Trader;;;;;;;;;;;;;x
guilds_trait_trader_desc;This character has spent quite some time trading.;;;;;;;;;;;;;x
guilds_trait_master;Master Trader;;;;;;;;;;;;;x
guilds_trait_master_desc;This character has considerable experience in trading.;;;;;;;;;;;;;x
# guilds_nun;"Nun";"Nonne";"Nonne";;"monja";;;;;;;;;x
# guilds_nun_desc;This woman is living out her days in a monastery, disqualified from normal inheritance.;Cette femme passe ses journées à prier. Elle a renoncé à tout héritage classique.;Diese Frau lebt in einem Kloster und ist von der normalen Erbfolge ausgeschlossen.;;Esta mujer agota sus últimos días en un monasterio, descalificado de la herencia normal.;;;;;;;;;x
#minor titles
title_guilds_apprentice;Apprentice Trader;;;;;;;;;;;;;x
title_guilds_apprentice_desc;Members of the Trade League are encouraged to choose an apprentice. In exchange for tutoring, the apprentice will help his or her mentor.;;;;;;;;;;;;;x
title_guilds_master;Trade Master;;;;;;;;;;;;;x
title_guilds_master_desc;This courtier will join the Great Trade League and will trade goods for you. A Trade Master with a negative opinion of his liege may turn to criminal activities.\nAlso enables several §BCharacter Decisions§! that can be found by §Gright-clicking§! on your Trade Master. These decisions allow you to manage what your Trade Master will focus on.;;;;;;;;;;;;;x
#nickname
guilds_nick_the_wise_wolf;the Wise Wolf;;;;;;;;;;;;;x
#buildings
